Comment,Designator,Footprint,LCSC
TL074,U2,SOIC-14_3.9x8.7mm_P1.27mm,C12594
R_Potentiometer_Trim_US,RV2,Potentiometer_Bourns_TC33X_Vertical,C128545
100n,C1,C_0603_1608Metric,C14663
Atmega328P-AU,U3,TQFP-32_7x7mm_P0.8mm,C14877
1k,"R1,R10,R2,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C21190
02x05,"J11,J13,J14,J17,J18,J2,J25,J29,J30,J5",PinHeader_2x05_P2.54mm_Vertical_SMD,C261072
SW_SPST,"SW1,SW10,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW_SPST_PTS645,C294565
EuroPower16,J1,IDC-Header_2x08_P2.54mm_Vertical,C383608
02x02,"J26,J27,J28,J4",PinHeader_2x02_P2.54mm_Vertical_SMD,C3975147
02x03,"J15,J19,J20,J21,J6,J7,J8",PinHeader_2x03_P2.54mm_Vertical_SMD,C3975148
02x12,J12,PinHeader_2x12_P2.54mm_Vertical_SMD,C3975157
CD40106,"U1,U4,U5",SOIC-16_3.9x9.9mm_P1.27mm,C5947
LED_BLUE,"D1,D10,D2,D3,D4,D5,D6,D7,D8,D9",LED_0603_1608Metric,C72041
AlphaPot,RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
Conn_01x02_Pin,J16,PinHeader_1x02_P1.00mm_Vertical,
