Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148WS,D_SOD-323,49.25,-109.55,270.0,bottom
D2,1N4148WS,D_SOD-323,49.25,-112.8,90.0,bottom
D3,1N4148WS,D_SOD-323,49.25,-116.05,270.0,bottom
D4,1N4148WS,D_SOD-323,49.25,-119.3,90.0,bottom
D5,1N4148WS,D_SOD-323,49.05,-122.5,180.0,bottom
D12,1N4148WS,D_SOD-323,49.25,-106.3,90.0,bottom
J1,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,36.15,-130.2,0.0,bottom
J8,male 02x20,PinHeader_2x20_P2.54mm_Horizontal,20.4,-82.925,270.0,bottom
Q1,2N3906S,SOT-23-3,75.0,-78.63,270.0,bottom
Q2,MMBT2222A,SOT-23-3,74.945,-89.675,90.0,bottom
Q3,2N3906S,SOT-23-3,74.61,-69.21,270.0,bottom
Q4,MMBT2222A,SOT-23-3,75.065,-61.865,90.0,bottom
U1,NE555DR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,62.0,-48.5,90.0,bottom
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,41.5,-45.75,0.0,bottom
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,43.25,-90.0,90.0,bottom
U5,4017bm,SOP-16_3.9x9.9mm_P1.27mm,63.0,-130.25,90.0,bottom
U6,XL13700,SOP-16_3.9x9.9mm_P1.27mm,42.0,-64.0,90.0,bottom
